### EC-numbers
1.4.3.-	4.2.1.1	2.7.6.-	3.5.1.88	5.4.99.-	3.1.21.4	2.3.1.48	7.2.1.-	1.16.3.1	3.4.19.12	1.3.8.-	2.7.7.19	2.4.2.-	1.1.1.169	2.4.2.10	3.5.3.1	3.3.2.-	3.1.26.4	7.1.1.9	3.4.13.9	1.1.1.100	5.1.1.-	3.1.22.-	3.4.21.-	1.11.1.-	3.4.22.28	4.6.1.18	3.4.21.4	6.1.1.4	1.15.1.1	3.4.19.-	3.4.11.1	3.4.25.1	1.3.1.9	2.4.99.-	1.1.99.-	1.97.1.12	2.7.4.6	1.17.1.-	1.7.2.-	2.7.1.71	4.2.1.11	3.4.21.90	4.1.99.-	2.8.1.1	3.6.4.13	6.3.4.4	2.7.11.1	2.7.7.23	1.9.3.-	2.3.1.39	4.1.1.11	3.2.1.26	3.1.13.-	1.8.99.-	1.11.1.6	4.2.1.2	5.3.4.1	3.2.1.4	3.4.21.5	1.14.16.-	6.3.4.2	2.1.1.37	1.12.99.-	2.1.1.361	2.1.1.-	3.1.8.1	2.7.11.-	2.3.2.24	2.7.7.48	3.5.1.98	3.1.1.31	2.7.11.22	1.18.1.2	3.1.13.4	4.1.1.23	3.2.2.27	2.5.1.7	1.14.11.-	3.5.1.2	6.3.1.2	4.3.2.-	4.1.2.25	5.3.2.-	2.7.1.1	3.1.11.-	2.7.7.4	3.6.3.14	4.2.1.20	2.3.1.41	1.18.6.1	2.3.1.74	6.3.2.19	3.2.2.22	2.8.4.1	2.4.2.17	2.1.1.56	1.10.3.-	2.5.1.54	1.2.1.11	4.2.1.8	3.1.3.16	1.12.7.2	2.7.1.-	1.17.4.1	2.7.10.-	3.1.2.14	5.3.1.6	3.4.21.91	2.2.1.-	2.7.1.2	2.7.3.-	3.1.22.4	2.3.1.16	4.99.1.-	2.7.1.35	3.4.22.69	3.1.27.-	1.12.7.-	5.1.3.-	2.7.7.65	1.17.4.-	5.3.1.24	4.2.1.59	2.5.1.10	1.8.4.11	3.4.25.-	2.7.10.2	5.2.1.-	6.1.1.3	2.7.7.49	2.8.4.-	4.1.3.-	2.3.1.31	1.1.1.205	3.1.30.-	3.4.23.-	6.5.1.2	6.1.1.15	3.6.4.-	6.2.1.-	4.1.3.3	2.7.7.60	6.3.2.6	5.1.1.3	2.4.2.9	1.14.13.-	1.1.2.-	1.1.1.1	5.1.99.-	2.8.2.-	2.5.1.47	2.7.11.24	3.4.22.15	2.6.1.42	2.1.3.2	3.2.2.9	4.2.3.3	2.6.1.-	1.5.1.-	2.7.7.24	2.1.1.57	6.1.1.20	5.3.1.5	2.7.1.25	2.2.1.1	3.6.1.1	2.3.3.16	6.3.4.-	2.7.7.9	1.18.1.-	4.2.99.-	4.1.2.4	3.1.3.1	5.3.3.8	3.2.1.1	2.7.10.1	4.2.1.113	4.2.2.2	6.1.1.1	3.1.3.-	1.2.4.-	1.6.99.-	2.5.1.18	3.4.22.29	3.1.3.2	1.1.1.27	2.3.1.286	1.14.15.-	2.7.7.3	3.1.13.2	2.7.7.6	5.4.99.18	4.1.1.39	2.7.4.8	5.6.2.1	2.3.1.-	1.7.1.-	1.6.5.2	1.18.6.-	4.6.1.2	2.6.1.52	3.1.6.-	1.6.5.-	2.3.2.31	3.6.5.5	2.8.3.-	2.3.2.-	3.2.1.18	3.5.99.-	3.1.4.35	3.1.8.-	2.3.1.12	1.6.2.-	2.1.1.72	2.3.3.-	3.4.21.92	1.14.11.27	2.7.11.17	2.1.1.359	2.7.13.-	2.5.1.15	6.3.3.-	3.2.1.22	6.1.1.6	4.3.3.7	3.4.11.18	4.2.3.4	3.1.2.-	2.4.2.8	4.1.1.48	3.7.1.-	3.1.4.53	7.2.2.-	2.7.6.5	3.6.5.3	4.3.3.-	2.7.1.21	3.1.4.-	1.11.1.24	3.6.4.10	1.14.14.1	3.5.1.60	3.2.1.52	1.16.3.-	3.1.26.3	3.4.24.69	3.5.1.11	2.1.1.193	1.7.2.1	1.14.99.-	3.6.5.2	2.7.7.n1	4.1.1.-	2.3.2.26	2.4.1.15	2.5.1.-	3.1.3.11	1.14.11.67	2.3.1.180	2.4.2.7	3.6.4.12	2.5.1.19	1.1.1.-	1.8.1.9	1.9.3.1	2.7.1.15	2.7.1.11	3.4.11.-	2.1.2.-	7.6.2.-	3.5.1.28	3.8.1.5	6.3.4.13	1.11.1.9	1.13.11.-	4.1.2.13	3.4.16.4	6.1.1.7	1.1.3.-	2.4.1.129	3.1.1.29	3.4.21.53	3.6.5.-	3.1.1.4	1.1.1.86	3.2.2.-	2.6.1.1	4.2.99.18	5.5.1.-	2.7.11.30	3.1.26.-	1.8.1.4	1.14.14.-	3.2.1.14	3.5.4.-	2.1.2.1	3.2.1.3	1.97.1.-	6.3.4.14	2.7.12.1	2.7.11.25	2.5.1.17	6.3.5.2	6.3.2.1	3.2.1.78	3.1.11.2	1.6.99.3	2.1.2.2	1.1.1.42	7.1.1.8	7.1.1.2	3.1.2.2	3.4.22.46	3.1.3.36	2.4.1.-	3.1.3.33	4.3.2.2	1.14.12.-	1.13.12.-	3.4.22.-	5.3.1.1	4.2.1.-	3.2.1.169	3.2.1.17	6.5.1.1	1.1.1.35	1.3.5.-	1.2.1.3	2.5.1.1	7.2.2.8	6.3.1.-	2.5.1.78	2.7.7.50	2.1.3.-	2.7.7.-	5.4.3.8	2.7.2.4	1.10.3.2	3.1.1.3	3.6.1.15	5.6.2.2	3.1.3.3	3.2.1.20	3.6.1.9	2.3.2.27	3.6.1.23	6.1.1.-	4.2.1.10	3.4.13.-	6.3.2.4	1.1.1.2	3.4.21.107	1.6.99.1	2.7.4.9	1.15.1.-	3.6.1.34	1.3.1.-	3.6.1.55	3.4.24.-	3.6.1.-	4.1.1.50	4.2.2.-	3.3.1.1	3.4.22.1	3.1.4.11	3.5.1.1	3.3.1.-	1.1.1.267	3.2.1.55	1.1.1.25	3.6.1.7	2.7.13.3	2.7.1.40	2.3.1.9	1.7.3.-	5.4.2.-	1.7.1.17	3.2.2.6	4.1.1.33	1.8.5.-	5.3.3.-	3.2.1.31	6.3.5.-	1.14.19.-	6.1.1.11	1.12.99.6	1.4.1.-	4.6.1.1	3.1.3.86	3.2.1.91	4.3.2.10	3.4.16.-	3.1.3.5	3.5.4.4	6.4.1.-	1.17.1.8	2.5.1.16	4.3.1.-	3.4.23.16	6.3.3.1	3.2.1.73	5.1.3.13	1.2.1.12	1.6.2.4	6.1.1.17	2.3.1.1	3.5.3.-	3.2.1.8	2.1.1.45	3.2.1.21	5.1.3.2	2.3.1.129	2.7.2.-	5.3.1.-	2.7.2.8	2.4.2.1	1.14.14.18	3.5.1.5	3.5.4.38	5.4.3.-	6.5.1.-	2.7.12.2	2.5.1.55	1.8.1.7	3.1.21.-	1.8.4.12	1.11.1.15	1.1.1.85	3.6.1.3	2.7.1.33	2.7.8.7	3.1.3.25	3.2.1.96	7.1.1.-	3.2.1.39	2.4.2.3	3.5.4.9	2.2.1.2	3.6.3.-	3.5.1.-	1.11.1.7	1.5.1.5	2.4.2.19	1.8.3.2	1.3.99.-	1.5.3.-	5.6.1.-	1.8.1.-	2.7.3.9	2.5.1.6	3.4.21.62	1.8.4.-	5.3.1.16	2.3.2.2	3.4.17.-	2.7.4.-	3.2.1.-	6.3.1.5	4.3.3.6	2.1.3.3	1.5.1.3	3.5.2.3	5.4.2.11	2.7.7.8	2.8.1.7	2.7.7.7	3.2.1.37	2.7.12.-	5.3.1.9	1.2.7.-	6.1.1.2	7.1.2.-	2.3.1.5	3.4.14.-	6.1.1.10	1.16.1.-	2.1.1.228	3.5.2.6	2.1.1.354	2.7.4.3	4.1.2.-	4.4.1.5	5.3.4.-	4.6.1.-	5.1.1.1	3.4.24.3	4.4.1.-	1.3.7.-	2.3.1.117	5.4.99.5	1.2.1.-	2.4.2.30	1.14.18.-	3.1.1.1	3.1.3.48	3.4.21.98	5.6.2.-	3.1.26.5	7.2.1.1	2.7.11.12	1.3.3.-	2.7.7.18	3.1.1.-	5.2.1.8	2.7.1.69	1.1.1.37	3.6.4.6	3.1.4.17	2.7.11.13	3.5.2.-	4.2.1.17	2.7.2.3	4.2.3.-	5.3.99.-	3.1.1.72	2.3.1.179	3.2.1.23	1.14.13.25	3.1.26.13	3.8.1.-	4.1.1.20	2.7.11.26	6.1.1.21	2.7.11.21	2.7.4.22	1.8.3.-	2.3.1.57	1.3.5.1	3.1.1.53	7.1.2.2	6.4.1.2	2.7.8.-	6.3.2.-	2.8.1.-	3.5.4.5	4.6.1.12	2.3.2.23
### SWISS-MODEL-chain	EC-numbers
Q7VCG1-A	6.1.1.21,6.1.1.-
Q974U1-A	6.5.1.-
O22018-A	4.2.1.-,4.2.1.20
A5G2L3-A	3.6.4.-,3.6.4.12
Q5NTH3-A	2.7.1.71,2.7.1.-
Q0AZ87-A	2.7.1.-
Q2RL32-B	5.2.1.8,5.2.1.-
Q6FYC0-A	2.1.1.-
Q67P26-A	6.1.1.-
Q49YE8-A	2.8.1.-
Q2IQJ6-A	6.1.1.-
Q17WX7-A	3.1.3.5,3.1.3.-
P00442-A	1.15.1.-,1.15.1.1
O84332-A	5.3.1.1,5.3.1.-
Q9RYX8-A	4.1.99.-
Q9FQ11-A	3.1.3.-
B8FUD2-A	4.1.99.-
Q9SP37-A	3.3.1.-,3.3.1.1
Q87VX3-A	6.1.1.-,6.1.1.4
O59082-A	2.4.2.-
Q6ZXA0-A	2.4.99.-
A1QYX2-A	2.1.1.-
A7HXZ6-A	4.1.1.48,4.1.1.-
P44989-A	5.1.3.-
Q8KE30-A	2.7.7.4,2.7.7.-
A8AZA7-A	6.1.1.15,6.1.1.-
Q89WP6-A	2.1.1.-
C9Y0S7-A	1.14.99.-
Q5HMD0-A	2.5.1.-
P57855-A	4.1.1.48,4.1.1.-
Q820F3-A	3.6.4.-,3.6.4.12
A6UCT7-A	3.6.4.-,3.6.4.12
Q9YES0-A	6.5.1.-
B9LZC4-A	3.6.4.-,3.6.4.12
P61647-A	2.4.99.-
Q82K46-A	6.1.1.15,6.1.1.-
A5G3X1-A	2.3.1.-
B8F3E3-A	6.1.1.10,6.1.1.-
C1A1N9-A	5.2.1.8,5.2.1.-
Q9CKH9-A	2.2.1.2,2.2.1.-
P43312-A	1.15.1.-,1.15.1.1
Q3J1L8-A	5.2.1.8,5.2.1.-
Q2SCL3-A	3.6.4.-,3.6.4.12
Q04D98-A	5.2.1.8,5.2.1.-
P23744-A	1.15.1.-,1.15.1.1
Q95086-A	1.15.1.-,1.15.1.1
Q4A5E2-A	6.1.1.1,6.1.1.-
A6QLW2-A	4.2.1.-
Q5KWR4-A	2.4.2.-
B9KZ09-A	3.6.4.-,3.6.4.12
Q9FJ79-D	5.6.2.1,5.6.2.-
A8ABN0-A	6.1.1.10,6.1.1.-
A3CLL8-A	2.4.2.-
Q9VM90-A	2.7.11.1,2.7.11.-
Q9PQE4-A	5.2.1.8,5.2.1.-
B9DPK4-A	3.6.1.-
Q74MI1-B	6.1.1.-
P75122-A	6.1.1.1,6.1.1.-
Q7MAE0-A	6.1.1.-,6.1.1.2
Q17YR0-A	5.3.1.1,5.3.1.-
B3QS44-A	5.3.1.24,5.3.1.-
Q824M5-A	3.6.4.-,3.6.4.12
Q9M8Y0-A	2.4.1.-
Q894M8-A	4.1.99.-
Q08420-A	1.15.1.-,1.15.1.1
Q72U05-A	4.2.1.-,4.2.1.20
Q8K9P7-A	5.6.2.1,5.6.2.-
P16026-A	1.15.1.-,1.15.1.1
A7I4H6-A	3.6.4.-,3.6.4.12
Q7N0L2-A	5.2.1.8,5.2.1.-
Q96XS5-A	1.11.1.-,1.11.1.15
B0JY77-A	3.6.4.-,3.6.4.12
B2T3J1-A	1.14.14.-
A8A9P0-A	1.11.1.-,1.11.1.15
Q87GY4-A	2.2.1.-,2.2.1.1
O51333-A	2.1.1.-,2.1.1.193
B9KG88-A	6.1.1.21,6.1.1.-
A0RPD3-A	6.1.1.21,6.1.1.-
Q3SHM0-A	4.2.1.-,4.2.1.20
Q74NC6-A	1.11.1.-,1.11.1.15
A1B8L3-A	4.2.1.-,4.2.1.20
A7Z1M9-A	2.7.11.1,2.7.11.-
B8HP79-A	4.1.1.48,4.1.1.-
Q5JH82-A	5.6.2.2,5.6.2.-
Q86WS5-A	3.4.21.-
A3CLL9-A	4.1.1.48,4.1.1.-
P28763-A	1.15.1.-,1.15.1.1
Q56738-A	5.3.1.1,5.3.1.-
A7HPD4-A	5.3.1.24,5.3.1.-
B1WAX6-A	3.1.3.-
Q89AI2-A	2.1.1.-
Q97KY6-A	6.1.1.1,6.1.1.-
F4HWL4-B	6.1.1.1,6.1.1.-
P59410-A	1.1.1.-
Q886R2-A	2.1.1.-
P57854-C	4.2.1.-,4.2.1.20
Q6MTM6-A	2.1.1.-
Q9CNP9-A	3.6.3.-
Q134B7-A	2.1.1.-
A8G097-A	4.1.99.-
C1DLP4-A	3.6.1.-
Q5LQN0-A	2.1.1.-
B1XUY8-B	6.1.1.-
A4SHB7-A	1.1.1.-
A6UTZ1-A	2.1.1.-
Q59034-A	2.1.1.-
P27136-A	3.1.1.-
Q6P7W5-A	4.6.1.-
Q6L273-A	2.4.2.-
A1S7P2-A	2.4.2.-
A9AUT1-A	5.2.1.8,5.2.1.-
O67642-A	2.2.1.-,2.2.1.1
Q9ZCZ4-A	6.1.1.1,6.1.1.-
Q8D5Q4-A	4.1.99.-
Q3MEF4-A	3.6.4.-,3.6.4.12
Q9LK43-A	2.7.11.1,2.7.11.-
A9B9W1-A	2.4.2.-
A4W9W0-A	6.1.1.1,6.1.1.-
Q972A1-A	4.1.1.48,4.1.1.-
P44798-A	1.7.2.-
B1XV46-A	4.2.1.-,4.2.1.20
A7MKM8-A	2.1.1.-
P0CT33-A	3.6.4.-,3.6.4.12
Q82AE4-A	2.1.1.-
Q3ZXE0-A	2.1.1.-
Q2S0I2-A	2.1.1.-
Q7VPN7-A	6.3.4.-
Q2FSA9-A	2.1.1.-
Q21P96-A	3.5.1.-,3.5.1.5
O28125-A	3.1.4.-
P44413-A	3.1.21.4,3.1.21.-
Q8RH57-A	6.1.1.1,6.1.1.-
Q885T9-A	2.1.1.-
A9R995-C	4.2.1.-,4.2.1.20
A6W572-A	2.4.2.-,2.4.2.9
A9R1H4-A	2.5.1.-,2.5.1.16
A7XRZ1-B	2.1.1.-
A5FMI1-A	6.1.1.1,6.1.1.-
A8FFW0-A	5.2.1.8,5.2.1.-
Q6A548-A	2.7.7.49,2.7.7.-
Q7VD15-A	4.2.1.-,4.2.1.20
Q5NGY5-A	6.1.1.1,6.1.1.-
Q6AAT0-B	6.1.1.-
Q28198-A	3.4.21.-
A0Q0Z7-A	6.3.4.-
Q04GA1-A	3.6.4.-,3.6.4.12
Q92AI7-A	3.1.3.16,3.1.3.-
P96556-A	4.1.3.-
A1TPZ2-A	1.3.5.-
C5FC83-A	6.3.4.-,6.3.4.4
Q28LT2-A	2.5.1.-,2.5.1.78
A9B4R4-A	2.5.1.-,2.5.1.78
Q5QYD9-A	2.1.1.-
B7IFP5-A	2.1.1.-
C0QX75-A	2.1.1.-
Q5E7A8-A	2.1.1.-
P17988-A	2.8.2.-
A6LK98-A	2.7.4.-,2.7.4.22
P0CL78-A	2.4.2.-,2.4.2.10
A6Q1H0-A	3.1.26.-,3.1.26.3
P0C153-A	5.2.1.8,5.2.1.-
C4L9Y9-A	2.1.1.-
A6VMP9-A	3.1.26.4,3.1.26.-
Q2NRJ6-A	2.1.1.-
Q04GL2-A	3.1.26.-,3.1.26.3
Q9RPT0-A	2.1.1.-
A6QCJ3-A	3.1.26.4,3.1.26.-
A8FD20-A	4.1.1.23,4.1.1.-
Q31C12-A	2.7.4.-,2.7.4.22
C1KWC5-A	2.7.7.6,2.7.7.-
Q5JFZ7-A	2.7.4.-,2.7.4.22
Q9HN33-A	5.3.1.6,5.3.1.-
Q03WX7-A	2.7.4.-,2.7.4.22
Q67PF5-A	3.1.26.-,3.1.26.3
Q30NS7-A	6.3.4.-,6.3.4.2
A5UXC5-A	5.3.1.6,5.3.1.-
O22645-C	4.1.1.39,4.1.1.-
B0URU5-A	3.1.26.5,3.1.26.-
Q9RH11-A	3.6.1.-
C0SPA0-A	3.2.1.-
Q9UX09-A	2.4.2.-,2.4.2.10
P43296-A	3.4.22.-
Q03KS6-A	4.1.1.23,4.1.1.-
A8FQD4-A	2.1.2.-
A9I6E7-A	4.1.1.23,4.1.1.-
Q1GF74-A	5.3.1.6,5.3.1.-
A5VI57-A	3.1.1.-,3.1.1.29
Q12IP4-A	2.1.2.-
C3N054-F	2.7.7.6,2.7.7.-
Q1D7U3-A	2.7.7.6,2.7.7.-
P39794-A	2.7.1.-
Q55336-A	2.1.2.-
Q7MHN8-E	3.1.26.-,3.1.26.3
Q1H141-A	2.7.4.-,2.7.4.22
Q8R720-A	6.3.4.-,6.3.4.2
B1L969-A	4.2.2.-
Q3AMU2-A	3.1.26.4,3.1.26.-
B2UNA2-A	1.3.5.-
Q5H1R2-A	3.1.26.-,3.1.26.3
Q2S6N0-A	2.1.1.-
Q03JR1-E	2.7.7.6,2.7.7.-
Q1H3J3-A	3.1.1.-,3.1.1.29
Q9AGA7-B	2.7.1.-
P42814-A	4.6.1.-
Q8DBE7-A	3.1.26.4,3.1.26.-
O75452-A	1.1.1.-
P28619-A	2.7.7.-
A7NGC5-A	3.1.26.-,3.1.26.3
Q2W897-B	2.1.1.-
P59837-A	1.1.1.-
P50170-A	1.1.1.-
Q33383-A	4.1.1.39,4.1.1.-
Q057R4-E	3.1.26.-,3.1.26.3
Q73YS2-A	1.3.5.-
A4FYL9-A	3.1.1.-,3.1.1.29
P42813-A	4.6.1.-
Q97E97-A	3.1.1.-,3.1.1.29
Q976I0-A	3.1.1.-,3.1.1.29
Q86BN8-A	3.1.3.-
Q7V5X1-A	6.3.2.6,6.3.2.-
A4YD82-A	3.1.1.-,3.1.1.29
A7H186-A	3.1.26.-,3.1.26.3
Q9V166-A	3.1.26.5,3.1.26.-
B4SC75-A	6.3.4.-,6.3.4.4
B6J330-A	3.1.1.-,3.1.1.29
Q3IRM5-A	3.1.26.-
A0LJ43-H	2.7.7.6,2.7.7.-
A1S4P2-A	2.7.4.-,2.7.4.22
Q167K4-A	6.3.3.-,6.3.3.1
A5U0J2-A	6.3.5.-
Q1I6H8-A	6.3.2.6,6.3.2.-
A1A095-B	2.7.7.6,2.7.7.-
Q8DIS5-A	4.1.1.39,4.1.1.-
Q4JV11-A	3.1.26.4,3.1.26.-
Q8EQ58-B	3.1.26.-
B1HTV3-D	6.3.5.-
A6WVY1-A	1.3.5.-
C3KED7-A	6.3.2.6,6.3.2.-
A9BHV4-A	6.3.4.-,6.3.4.4
Q4QM07-A	3.6.1.-
A8YTK4-A	6.3.4.-,6.3.4.4
A5CS38-A	1.3.5.-
A1KV92-A	3.6.1.-
Q8EWQ8-A	3.1.1.-,3.1.1.29
A1VFE7-A	3.1.26.4,3.1.26.-
Q8HY87-A	3.1.26.-
P49408-A	3.2.1.-
P87350-A	3.1.27.-
Q6ANS2-A	2.7.7.-
A9NE82-A	3.1.1.-,3.1.1.29
Q1GSA2-A	6.3.3.-,6.3.3.1
Q9JI38-A	5.4.99.-
O57979-A	2.4.2.-
Q6CC39-A	5.4.99.-
Q4L8H5-A	2.7.1.-
Q1QBS1-A	1.3.5.-
B7J207-A	3.1.26.5,3.1.26.-
A1RQQ2-A	6.3.5.-
Q31C27-A	6.3.4.-,6.3.4.4
Q6GA19-A	6.1.1.-
Q741M7-A	6.1.1.-
Q0BWB0-A	2.1.1.-
A6UWT1-B	6.1.1.-,6.1.1.20
A1SM03-A	6.1.1.17,6.1.1.-
B2VI36-A	2.1.1.-
Q0W0X4-B	6.1.1.-,6.1.1.20
Q8LPS5-A	2.7.11.1,2.7.11.-
B1KI70-A	2.1.1.-,2.1.1.228
Q185K3-A	2.2.1.2,2.2.1.-
B4RUH2-A	1.13.11.-
O34635-A	4.3.1.-
O81086-A	4.2.3.-
Q6LPD9-A	2.6.1.-,2.6.1.52
P10723-A	6.1.1.-
A3CLP4-A	6.1.1.-
B1I161-A	6.1.1.-,6.1.1.11
Q8D8M6-A	6.1.1.-,6.1.1.11
B3DPJ1-A	6.1.1.-
A7ZPD3-C	5.4.99.-
Q2GD33-A	6.1.1.17,6.1.1.-
A8ZUR7-A	6.1.1.-
Q214W8-A	6.1.1.-,6.1.1.11
Q66G58-A	2.1.1.-
B1LYT9-A	2.1.1.-
A6L1N4-A	2.1.1.-
B9L5I6-B	6.2.1.-
Q8KFE7-B	6.2.1.-
Q94523-A	1.3.5.-,1.3.5.1
B0R841-A	6.1.1.-
Q1CXV1-A	6.1.1.15,6.1.1.-
Q6LT49-A	3.6.4.-,3.6.4.12
Q5E6F2-A	2.6.1.-,2.6.1.52
C1D5H2-A	2.1.1.-
B9MKR8-A	2.3.1.-
Q6BX78-A	2.1.1.-
A5VFX8-A	6.1.1.-
B0TLI5-A	6.1.1.21,6.1.1.-
A6LS61-A	3.1.3.5,3.1.3.-
Q551M3-A	2.1.1.-
Q6L0N9-A	6.1.1.17,6.1.1.-
Q5YNA5-A	2.1.1.-
Q1IHM1-A	2.1.1.-
Q74FG3-A	2.1.1.-,2.1.1.228
B4RBX8-A	6.1.1.17,6.1.1.-
Q5WEJ6-A	6.1.1.-,6.1.1.20
Q2SK84-A	6.1.1.17,6.1.1.-
E3QXY4-A	3.4.21.-
Q9FKD7-D	2.3.2.27,2.3.2.-
Q5LR07-A	6.1.1.-,6.1.1.11
Q15RN2-A	6.1.1.-
B4JKK1-A	1.13.11.-
Q9M2E2-A	1.1.1.-
B2J384-A	6.1.1.6,6.1.1.-
Q482S1-B	6.2.1.-
C5NZ70-A	3.4.21.-
Q0SMZ4-C	6.1.1.-,6.1.1.20
Q487E6-A	3.1.3.5,3.1.3.-
Q65Q00-A	2.1.1.-
Q8Y220-A	5.2.1.8,5.2.1.-
Q1G9V1-A	2.1.1.-
A8GDQ5-A	6.1.1.3,6.1.1.-
P33073-A	4.3.1.-
B8H9C7-A	6.1.1.-
Q223E5-A	5.2.1.8,5.2.1.-
Q39H28-B	5.4.99.-
A4SHG2-A	2.1.1.-
Q4FP29-B	6.2.1.-
Q1GIZ8-A	6.1.1.-
Q60BS6-A	6.1.1.7,6.1.1.-
Q2RJM2-B	5.4.99.-
Q8E9Y7-A	6.1.1.-
A0L3J9-A	6.1.1.7,6.1.1.-
Q9FJ47-A	3.4.22.-
Q89S70-A	6.1.1.-
B9DNF9-A	6.1.1.21,6.1.1.-
Q0BSM0-A	6.1.1.15,6.1.1.-
Q7Z0G7-A	2.1.1.-
Q168B1-A	2.2.1.2,2.2.1.-
Q2Y630-A	2.1.1.-
Q98PH6-A	6.1.1.3,6.1.1.-
Q89AC5-A	6.1.1.6,6.1.1.-
Q31MM7-A	6.1.1.-
Q98C31-A	6.1.1.-,6.1.1.2
P13485-A	2.7.8.-
Q6DRC0-B	6.1.1.-,6.1.1.11
Q8UC60-B	6.2.1.-
C0ZZ47-A	3.6.4.-,3.6.4.12
B4S612-B	6.2.1.-
Q0W0H2-A	6.1.1.10,6.1.1.-
P9WFT4-A	6.1.1.3,6.1.1.-
Q0TQV4-A	2.5.1.-
O83650-A	6.1.1.6,6.1.1.-
Q8FQH8-A	1.11.1.-,1.11.1.15
B7KB74-A	3.1.3.5,3.1.3.-
A4WPF7-A	6.1.1.-
A7ZF21-A	6.1.1.-
Q2K414-A	2.2.1.2,2.2.1.-
Q9CKP2-A	5.2.1.8,5.2.1.-
C5CM90-A	6.1.1.-
C4R432-A	3.6.5.-
Q8A5W4-A	6.1.1.6,6.1.1.-
Q9C9U5-A	2.7.11.1,2.7.11.-
B8GRJ2-A	6.1.1.6,6.1.1.-
Q11HC8-A	6.1.1.-,6.1.1.11
Q67LP0-A	6.1.1.-
Q74MP3-A	6.1.1.3,6.1.1.-
B5ZAP2-A	6.1.1.6,6.1.1.-
Q2JTZ2-A	6.1.1.-
P55394-A	2.3.1.-
B9M644-A	5.4.99.-
Q2RHZ3-A	6.1.1.7,6.1.1.-
A6UCT9-B	3.1.22.4,3.1.22.-
B2U6Z1-A	5.4.99.-
A5UJ98-A	6.1.1.10,6.1.1.-
A4X9S8-A	6.1.1.-,6.1.1.4
B2A5P2-A	6.1.1.3,6.1.1.-
Q59TB2-A	3.6.4.-,3.6.4.13
Q73CS0-A	4.2.1.-
Q70KF8-B	1.3.5.-,1.3.5.1
Q0IC33-A	2.1.1.-,2.1.1.228
Q2NXS9-A	6.1.1.-
Q4L6X5-A	6.1.1.-
A0KV13-A	6.1.1.15,6.1.1.-
B6JN30-A	6.1.1.21,6.1.1.-
A6V1G3-A	3.1.3.5,3.1.3.-
Q92WR9-A	4.2.1.-
P20409-A	4.1.3.-
Q1QZZ4-A	6.1.1.-
A5UZS3-A	3.6.4.-,3.6.4.12
Q3K093-A	2.7.7.-
Q9LNE3-A	2.7.1.-
C5CGS8-A	5.4.99.-
Q28LN3-A	5.4.99.-
Q9H5I1-A	2.1.1.-
Q5F3W5-A	2.1.1.-
B2GDT8-A	5.4.99.-
B1GZY6-A	6.1.1.-
Q2S5C8-I	3.6.4.-,3.6.4.12
Q31J79-A	6.1.1.-
A4IN28-A	2.5.1.-
B2V7E1-A	2.2.1.2,2.2.1.-
Q21EN2-A	2.1.1.-
B0JJC4-A	2.1.1.-,2.1.1.228
C6C1D5-A	2.4.2.-
Q1MJK8-A	2.7.7.-
Q31JQ7-A	2.7.7.-
Q8YSA7-A	2.1.1.-
Q30VM1-A	2.4.2.-
Q09092-A	2.7.11.1,2.7.11.-
Q9CI80-A	5.4.99.-
Q5F7C4-A	6.1.1.7,6.1.1.-
Q8ZVG2-A	6.1.1.-
Q8S4F6-A	2.4.1.-
Q6MDG0-A	6.1.1.10,6.1.1.-
A4W4L2-A	6.1.1.-
B3WEM3-A	6.1.1.21,6.1.1.-
B8I592-B	6.1.1.-
P44333-A	3.1.3.25,3.1.3.-
Q6D9A3-B	5.4.99.-
Q28CQ7-A	2.1.1.-
Q39218-A	2.3.1.-
Q65JP0-B	6.2.1.-
Q9CMQ7-B	5.4.99.-
A4FYL2-A	5.4.99.-
Q1CT27-A	2.5.1.-
A1S6N9-A	3.6.4.-,3.6.4.12
Q64K31-A	3.4.21.-
Q1C420-A	6.1.1.7,6.1.1.-
B4GEU5-A	3.6.4.-,3.6.4.13
A8C981-A	5.4.99.-
Q4FNR5-A	2.1.1.-
Q88X53-A	6.1.1.-
P46285-B	3.1.3.-
Q9CE12-A	6.1.1.-
O67931-A	1.8.5.-
C6DDG0-A	5.4.99.-
A3PDF8-A	3.1.22.4,3.1.22.-
A9KIA5-A	6.1.1.21,6.1.1.-
B3EQT0-A	2.1.1.-
Q03CB2-A	2.5.1.-
Q5GRT9-A	3.1.22.4,3.1.22.-
Q88VQ7-A	6.1.1.21,6.1.1.-
A1BJV5-A	2.2.1.2,2.2.1.-
Q1WTV0-A	6.1.1.21,6.1.1.-
B2A2P2-A	2.1.1.-,2.1.1.228
Q24742-A	2.1.1.-
Q7N8K5-A	5.4.99.-
Q2KYF7-B	6.2.1.-
P29566-C	3.1.21.4,3.1.21.-
C5PCX1-A	3.4.21.-
Q09828-A	6.1.1.-,6.1.1.4
Q98PK9-A	1.8.1.-,1.8.1.9
Q7MXK7-A	6.1.1.10,6.1.1.-
Q319E0-B	5.4.99.-
E9QYP0-A	1.14.13.-
B1MX63-A	2.5.1.-
Q01SP7-A	6.1.1.-,6.1.1.20
P11325-A	6.1.1.-,6.1.1.4
Q6L1R2-A	5.4.99.-
Q318R7-A	2.1.1.-
A1WYZ7-A	6.1.1.-,6.1.1.4
A9NET8-A	6.1.1.-,6.1.1.4
